,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,label
1,-2.7526473192056593,0.7254822040947841,4.3832748426603825,4.545317123793657,11.807004545960568,-12.889845219982845,-3.3950249085585424,5.334168812856047,-9.200112810112529,4.991759267790102,-1.4938727940352092,-9.463283516475762,-0.47848577464772,-1.8403178620350324,5.351466599755072,4.6397136649405395,1
0,-3.3905946137180853,2.148357766676578,-7.188449692780067,0.5547985549655983,-8.482445536166185,-4.1429809272598,2.3096523072253046,-5.230353800683366,7.346309800739423,-1.6110391944953752,-2.9675277852929662,-0.07844035134862759,1.534956041329532,6.238242473091674,-0.5714793831220706,-4.972596501824957,0
1,0.9955418174250747,4.967571097261201,11.38606530311249,-0.19776528172613972,10.908261231726346,-6.046302430097771,-1.6357553652771686,6.604734767924017,-7.978952407670453,10.29242596836317,-2.731553184656925,-9.31085688844689,3.2774271204524865,3.027512113047435,6.429926361533922,0.8108090180287908,1
1,-5.18232508150469,3.7716378879188923,10.890619118802778,11.079389658518492,13.059857917456984,-9.92885915125249,-2.9744307641912386,10.302586468524982,-0.6973457841129962,8.246183947450902,-2.097402778533137,-11.618115861890228,4.655817815153002,1.88100894751943,8.220124692898027,-2.2788482121178104,1
1,0.4472286308218569,3.8214769904699164,10.315214682229868,5.769466689546528,2.6420360413025685,-12.052838011163265,0.5438440247680711,2.1757707971358693,-3.778520376361425,11.933061046293256,-5.194719958699176,-14.553991836469134,1.975126120349323,-0.6231427772327915,0.5142184479112859,6.427568347690236,1
1,-0.35281289521138637,6.936796868395549,8.131111719339708,11.803018913660656,6.5095935472732975,-11.029807727386572,2.840021336415112,7.3898065149440235,-8.982334547353997,5.404320575334707,3.5851606800854015,-6.4156330176708565,3.1972404434324204,0.967211210419102,3.266832494640213,-1.1762287019975446,1
1,0.04332272570556128,1.4537714144010594,4.7478007273249725,11.578979854337497,12.408866790088814,-13.701819146701908,2.395078637957085,6.5797572003248055,-4.37099583196903,7.6944531482954535,-1.535998768775385,-10.224719988018025,-0.2375129495071462,1.4229622835966516,5.365990281705516,0.6858375496454614,1
0,-8.271396843918485,1.745082293510368,-7.1176550074026625,1.8092274112399682,-2.280182125571943,-9.563263882240536,8.691486819362154,-6.270663776488394,5.359033991076721,-5.644047203079474,-2.8528829898609733,5.071840470320238,-1.2896973726625012,2.8668918864327386,-1.7906664264077778,2.345708459540516,0
0,-4.988479239027298,3.5702846394610273,-5.590121274056033,0.9280176698197866,-10.975835966569587,-0.05350839960306075,5.299714086767945,-7.276537586306763,8.053747515001003,-6.714836528843132,-3.914852832557675,-0.6618696309923129,1.5749682279458104,6.751765091543634,-5.749002750786847,-11.316510151115054,0
1,3.476977995880512,4.682379092316408,7.174359425671777,10.245478723929262,9.304206565848336,-7.280961809504316,0.5894460167633976,1.4388452600698631,-9.00317658032479,3.799980902945106,2.0976421437620836,-9.900345694473435,0.5616987247202985,0.00992173112949779,5.850057234774633,5.105741322309067,1
0,-3.942898811533821,3.8039422608329394,-11.444198489820534,8.787095787381904,-5.380098423107031,-9.728276172647565,9.407655656896909,-3.583916739737683,10.840226732592885,-9.668770839734329,-1.0800359642680073,-0.7651879737251521,0.7983527324176518,8.74205441750203,-0.8704893892950764,-2.393658284003722,0
0,-9.66556993013042,1.816755475269784,-5.191086757971895,2.977213729795347,1.2252210690430942,-13.330670896867865,3.31244470081298,-7.291199426135309,6.746948812693369,-7.203193342336779,0.33938306284033914,3.321786890202632,-3.5163016190470158,6.332619133479332,-4.800674656406576,-7.156857020100993,0
0,5.595662180952477,4.923542806091445,-7.766813913636318,9.033146439418998,0.6669942788917758,-8.80144779250019,6.7406688550551666,-5.64422713761817,12.549305166238815,-10.40074239151611,0.8864908252281494,-2.50089534909712,2.1974496549673326,8.64308839357845,0.35902523122841323,-7.5015232864276165,0
0,-4.852344469344373,0.6742784894807619,-5.118457975283425,9.237040825690913,-0.1739163491047515,-5.020955793155933,7.828579905959576,-7.396957909959493,6.84010281197139,-8.646611657523149,-1.9649957833525797,1.7356187265859717,-4.1546270995380095,6.550416697352636,-1.5464923873155922,-4.235895595266875,0
1,0.4870168749161025,1.5140230437218485,9.896133462447057,6.616357046976587,11.418596256336313,-8.096302999352856,0.8613196043457425,9.179992901078712,-2.5280669885558846,8.735889233215087,-5.85085041537479,-13.162174106993984,-3.2596852211030924,-0.24012643978857695,6.525927068493005,4.462599114815905,1
1,-2.0050813375333556,5.6362411463462925,7.3279493390513775,10.848767461682161,7.856584860640419,-6.331705770389666,-1.9392478550714616,9.784555588126938,-0.00029233326140509774,2.6847764985467197,-2.9447816964444664,-13.412688123973714,-5.215619207718382,-3.8360336901161824,5.166128404891854,-0.399761291255988,1
1,2.3460870726458243,5.244155219594633,8.391450849090736,9.779135965640155,10.565783126458959,-7.6500455020479485,-0.43450196619186965,6.827161951974203,-2.647672518860027,13.834642407390307,-1.2744631006415432,-11.027376117445627,-0.8679956221538457,2.0569865279043245,2.770210402734407,3.055334692150564,1
1,3.7253985627949273,6.783084047934925,6.256987226666339,11.079049290704821,10.255767345554574,-9.998971146498196,0.996439482869926,4.467409534894586,-2.4023847523835578,8.74779594098892,0.6181831665282713,-3.1200264543230354,4.683575737520417,1.5238239804282188,1.6957446884807568,4.264002778680587,1
0,-5.71256827072095,9.35579941120699,-9.890414300393001,2.9580043367586044,1.4843983615286342,-6.721977344607981,3.1322243036222304,-3.845248341997291,3.5595063299717253,-0.8837880974272956,1.464537372459283,1.057322507932339,4.298901388031335,6.616754604013836,-5.687947517668103,-6.678103663295553,0
1,-2.0567383666220205,-0.85172732041437,5.917234406259819,9.728391539047806,9.128696771510276,-11.191187507359585,1.7771415290336863,4.986673909097302,-4.068009571080994,7.509773382638629,2.068754049736074,-2.0921720851915726,0.06288132674306524,0.7100168227481298,2.5521822767491082,2.1466995411231933,1
0,-3.895387710096302,5.882958815359641,-7.184153270963905,2.303072171574583,-5.078500947325017,-11.377083385678201,5.259625624331541,0.13642282821216156,11.717110243039485,-8.783455248977257,-1.9163821549728577,6.639089863087394,-1.4987713891449153,6.623946711068864,-2.458059085034631,-7.685213904641009,0
1,-0.1555315964654408,6.796049521550919,9.654165962818919,9.778763448421822,11.793421070129659,-6.983677357399481,0.05087279466386169,7.8871824247728295,-3.52788769245025,0.8393476032212552,-6.435062414204611,-7.030137838660977,-3.635341155824821,1.431039893100794,3.660706127011871,0.581113891559407,1
1,-1.8707492749818262,-1.2447327050236474,8.374313958407662,2.0643343979620745,13.951690265315092,-11.92939992647733,1.2950267123826824,4.817395911766044,-1.2779336669541457,6.364792153476286,-2.376162729135888,-10.651208602334918,-8.832134609360685,1.423939599780422,-0.3154703662037317,1.074407168381271,1
1,-1.6997425089004423,2.4104597463099213,8.036487460866965,11.810886437659164,7.223127047904095,-10.583508066135446,3.617260388471051,8.496272263215435,-5.320118245829356,6.920325119091682,-5.699146469379597,-20.00453750683267,-0.6258246153089526,2.0116553057160935,2.2268028110136746,4.993864893424102,1
0,-4.406269204081715,11.0861743626398,-9.830259524423898,-1.114060019301235,-3.890954522525104,-8.82921390096164,3.75761800876361,-1.866147150274597,14.478417467164643,-6.024515974599287,2.873828063158971,1.8234518044637853,1.2413649373557525,8.042435108058273,-1.3711465383398425,-10.895036615172517,0
0,-11.169045249492093,2.661899304375699,-4.549401965522455,-4.793276298229824,-0.4795931345428306,-5.756335459615039,1.1900504551972402,-1.1229048339635193,7.056374667383984,-1.8257736890359553,-2.9582854955465963,3.4956200530577775,-1.8127730094401846,11.381722724343987,-3.33883167277975,-9.192667788061915,0
1,1.2156315620267586,5.821894612655046,8.788208535398896,10.53205797563597,10.043748625243586,-10.93346393317142,-0.5450531684436075,10.52911341191953,-7.790767806686105,8.965301412308508,-0.5007931754654396,-8.112631923795407,1.0956398475763192,-0.15516528578171918,0.49684080312038925,5.1382169422938535,1
0,-7.5262130171705355,9.202998904174539,-6.294173288665017,2.973634684050729,-0.7399461774759504,-11.573333670157535,5.137759677112916,-11.938108482794343,6.6907734816939355,-5.392037483505803,-3.439206463815864,2.259347488924003,-2.900765253164024,12.342442991998773,-2.366761421598461,-8.555479564575137,0
1,1.252559717994312,1.8943989794687108,8.679862627870977,11.632925612298639,12.193333210705106,-7.437365092030436,-5.744742917020716,5.225513090097411,-6.322988479780645,14.258044642285272,0.7049923318231901,-9.46065415361256,0.4626607605760513,2.612558327929508,4.145384694238029,2.026579119883336,1
1,2.088483625701541,-0.1484215840004932,6.3246544779380365,9.935599048028182,11.858426303716133,-12.33934278510432,-3.054087814854141,-0.6681108127794442,-2.411563698507087,6.290155720588489,-3.108897759877426,-9.567469826362357,2.3110570686901317,7.30461804808499,2.7275811620729042,1.6368091995856116,1
0,-8.594768563119379,-1.8432523024828171,-7.134050398020204,2.761249745911149,-3.4047293913921433,-9.067082599384031,3.586641984648241,-3.3130338955802996,4.541156677776506,-7.189781275826681,4.412144045058312,6.093120534846614,0.4056969855047321,9.015720394250573,0.179561491150251,-7.999036243302826,0
